"x"
"1" "LEADERS	That  SHOULD  be a cause for celebration on both sides of the border"
"840" "LEADERS	That much, at least,  SHOULD  be clear after the disastrous invasion and occupation of Iraq in 2003"
"841" "LEADERS	Whether Mr Prabowo would succeed in that is another matter, but he  SHOULD  not be allowed to try"
"842" "LEADERS	That is true enough, to Europe’s shame: it  SHOULD  have done more to discourage the horrors in Sudan"
"843" "LEADERS	And all new state laws  SHOULD  face both a strict cost-benefit analysis and include a “sunset clause” so that they are automatically repealed after, say, ten years, unless lawmakers reauthorise them"
"844" "AMERICAS	His firm repairs turbines used in electricity generation, oil production and manufacturing—the very industries that  SHOULD  benefit most from an energy revolution"
"845" "ASIA	When cutting subsidies, it  SHOULD  now be easier to identify those who need cash transfers to cushion the blow"
"846" "ASIA	Lastly, the budget  SHOULD  encourage more private capital to chase productive work"
"847" "ASIA	He  SHOULD  be bold"
"848" "ASIA	The ruling party has also proposed that all schools  SHOULD  be required to use a single state-approved textbook rather than (as now) be able to choose among private publishers’ texts, subject to NIKH approval"
"849" "ASIA	Mainlanders from China who fled to Taiwan as the Communists defeated the Kuomintang (KMT) in 1949 tend to think history books  SHOULD  concentrate mostly on Chinese history; some loathe Japan for the same reasons that people in China and South Korea do"
"850" "EUROPE	Igor Korotchenko, a military analyst and editor who is close to the defence ministry, argues that Russia  SHOULD  step up its support to anti-Kiev forces following the precedent of America’s support to Syria’s rebels"
"851" "EUROPE	In this sectionWar by any other name Sarkozy held Tidal wave The Gymnasium revolt Dreams of Kurdistan Loosening the union Reprints     The latest horrors produced more agonised hand-wringing, but no sign that Italian or European Union leaders are any closer to agreeing what  SHOULD  be done"
"852" "EUROPE	If parents in western states whine about stress, it means that their kids  SHOULD  have gone to the basic schools instead of Gymnasium, says Wolfgang Nowak, who was Saxony’s education secretary in the years after reunification and designed its school system"
"853" "EUROPE	One thing  SHOULD  be watched in the manoeuvring"
"854" "BRITAIN	Because they are better placed than their more gnarled colleagues to answer the question which will dominate Labour for years—what  SHOULD  the left do when money is tight"
"855" "INTERNATIONAL	By that standard, argues David Stuckler of Oxford University, Europe’s experiment with slashing health-care spending in the wake of the financial crisis  SHOULD  not have been allowed to continue"
"856" "BUSINESS	Multilateral trade deals  SHOULD  in principle grease the wheels of commerce"
"857" "BUSINESS	More bad news for Nochi Dankner        In this sectionMany rivers to cross Nasty medicine Sharing à la française Dankners in the dock The dedicated followers of fast fashion The holes in holacracy Reprints     These legal moves  SHOULD  help to assuage the anger of those Israelis who took to the streets in 2011, in mass middle-class protests against the business elite"
"858" "BUSINESS	In a similar spirit, Mr Robertson says that the whole that is a firm  SHOULD  consist of overlapping “circles”, each a team of employees who have come together spontaneously around a specific task"
"859" "LEADERS	In this sectionDon’t leave us this way The new normal The internet of things (to be hacked) From cage to enlightenment The siege Reprints     If the Scots vote to leave, they  SHOULD  of course be allowed to, with Britain’s blessing"
"860" "LEADERS	Despite the occasional appearance of muddle, there is a point to the union, and one about which liberals  SHOULD  feel passionate"
"861" "LEADERS	A democratic, peaceful, well-governed nation state is a blessing which  SHOULD  not be casually thrown away"
"862" "LEADERS	In a world plagued by ethnic hatred, cultural prejudice and religious violence, that venerable idea  SHOULD  count for more than the real but fleeting disappointments and sense of alienation that the Scots have experienced in recent decades"
"863" "LEADERS	So instead of trying to buy Scottish votes with more cash, Mr Cameron  SHOULD  devolve far more power to all Britain’s cities and regions"
"864" "LEADERS	They  SHOULD  make clear that web-connected gadgets are covered by existing safety laws and existing product-liability regimes: last year Japan’s Toyota was successfully sued for installing malfunctioning, but not web-connected, software"
"865" "LEADERS	Wrongdoers  SHOULD  be punished, but the best prompt for securing the internet of things is competition"
"866" "LETTERS	But they mostly continue to ignore Yeats’s dictum that education  SHOULD  not be about filling a bucket, but lighting a fire"
"867" "LETTERS	These questions  SHOULD  arise in the mind of traditional liberals"
"868" "LETTERS	You  SHOULD  have looked to your leader in the same issue calling for the legalisation of drugs (“A half-smoked joint”)"
"869" "LETTERS	But rather than letting entrepreneurs take over the trade, the government  SHOULD  be given a monopoly to sell drugs, as there is a clear public-health risk involved"
"870" "LETTERS	America has undertaken a concerted effort over the past few decades to stigmatise and restrict the use of tobacco products:  SHOULD  we seek to treat cannabis the same way"
"871" "LETTERS	While his colleague’s advice is that full-measures  SHOULD  always be chosen over half-measures, I wonder if he would have the same opinion if it meant losing all of their drug money to legitimate businesses"
"872" "AMERICAS	Mexico’s 2008 judicial overhaul set more limits to pre-trial detentions; others  SHOULD  follow"
"873" "AMERICAS	But before they push aside Popeye’s favourite vegetable, says Roberto Santana, an architect of prison reform, they  SHOULD  reconsider the jails themselves"
"874" "ASIA	The question is how far it  SHOULD  go"
"875" "ASIA	Ever since China displaced Japan as Australia’s biggest trading partner seven years ago, debate in Australia has focused on how the country  SHOULD  balance its relations with China, America and Japan"
"876" "EUROPE	Referring to newly arrived Ukrainian forces in Sloviansk, an elderly resident, Tamara Khanina commented bitterly: “They bombed us, so how  SHOULD  I feel about them"
"877" "EUROPE	Scenes like these  SHOULD  make American policymakers pause"
"878" "EUROPE	With the European Union’s foreign-policy chief and the head of the Eurogroup of finance ministers, this job  SHOULD  be filled at an EU summit on July 16th, after the European Parliament confirms Luxembourg’s Jean-Claude Juncker as European Commission president"
"879" "EUROPE	Instead of demanding exemptions for whole categories of spending (eg, investment in information technology), he  SHOULD  do more to cut waste"
"880" "BRITAIN	Polls suggest it  SHOULD  survive: only one of over 70 has put the Yes campaign in front"
"881" "BRITAIN	This precedent  SHOULD  apply to Scotland’s secession"
"882" "BRITAIN	This principle  SHOULD  provide one pillar of negotiations"
"883" "BRITAIN	The second  SHOULD  be that movable assets (such as arms) be split proportionately and that immovable ones (such as public buildings) remain with the state they are in"
"884" "BRITAIN	This  SHOULD  spit out a figure between £121 billion and £143 billion (or between 73% and 86% of an independent Scotland’s GDP), say Angus Armstrong and Monique Ebell of the National Institute of Economic and Social Research"
"885" "BRITAIN	Faced with such a burden, Mr Salmond may be tempted to fall back on a more subtle argument: that the tax revenues garnered from Scotland’s oil, since it began to be pumped from the North Sea in large quantities in 1980,  SHOULD  be offset against its share of national debt"
"886" "BRITAIN	Thus an independent Scotland  SHOULD  take on more, not less, than its population’s share of national debt"
"887" "BRITAIN	Its small size  SHOULD  not be a barrier, as countries such as New Zealand and Israel demonstrate"
"888" "BRITAIN	Once the two of you have dealt with these headaches—the EU, the armed forces, debt, oil and currency—other matters  SHOULD  fall into place relatively simply"
"889" "BRITAIN	Nor  SHOULD  you do anything that threatens the openness of the English-Scottish border; the British-Irish one is a good model of police co-operation, with forces collaborating so closely that they bypass the system of European Arrest Warrants"
"890" "BRITAIN	For example, what  SHOULD  the RUK flag look like"
"891" "BRITAIN	Both of you (or your successors)  SHOULD  be prepared for a long slog"
"892" "BRITAIN	America is the biggest buyer: as its economy recovers, exports  SHOULD  rise"
"893" "INTERNATIONAL	Travellers  SHOULD  recharge before setting out—or even, for fear of delays, carry all chargers in their hand baggage"
"894" "BUSINESS	The Japanese firms now have some hard decisions to make, about which existing products they  SHOULD  give up on and which new ones to pursue"
"895" "BUSINESS	All these moves  SHOULD  help solve a common structural problem in Japanese industry, which is that too many firms all make similar products"
"896" "BUSINESS	At the heart of the dispute over these services is whether apps  SHOULD  be able to use a public asset to make a profit"
"897" "LEADERS	Solving the short-term problem means boosting demand, so the Federal Reserve  SHOULD  keep interest rates low"
"898" "LEADERS	Their deal points towards a political structure that  SHOULD  work better than the current one"
"899" "LEADERS	Yet, given anxieties about dividing the EU into “ins” and “outs”, and keeping Britain a member, that  SHOULD  be a plus, not a minus"
"900" "LEADERS	But European leaders  SHOULD  use the time they now have to find a better candidate"
"901" "LEADERS	Instead of the emollient, untested Ms Mogherini, the EU  SHOULD  choose someone astringent and weighty"
"902" "LEADERS	If Britain kow-tows to China, why  SHOULD  they bother"
"903" "LEADERS	Their desire for a humane end  SHOULD  not offend liberal societies, which rest on the principle of self-determination, so long as one’s actions do not harm others"
"904" "LEADERS	Liberal or not, politicians  SHOULD  move slowly when it comes to complex moral issues, which, whatever your views, this certainly is"
"905" "LEADERS	In a pluralistic society, the views of one religion  SHOULD  not be imposed on everybody"
"906" "LEADERS	But on such an emotive and contentious issue politicians  SHOULD  reflect society, not lead it"
"907" "LEADERS	They  SHOULD  be allowed to work out how much further they want to go"
"908" "BRIEFING	In theory, a hotter economy  SHOULD  draw some of these workers back into the labour market"
"909" "AMERICAS	” And by stressing the value of Congress in improving legislation and saying it  SHOULD  be the place to approve the new constitution she plans to draw up, she is tacitly disavowing the leftist talk of “refounding” the country that has business people so worried"
"910" "AMERICAS	Ms Rousseff stressed that the BRICS’ “activism”  SHOULD  not be seen as a “desire for domination” or “a strategic alternative contrary to the interests of other countries”"
"911" "ASIA	Japan’s armed forces will be allowed to come to the aid of allies  SHOULD  the nation’s security be threatened"
"912" "ASIA	However much the economy matters, the government’s spin doctors know that Mr Abe would enjoy a real surge in popularity  SHOULD  he secure the return of at least some of 17 or more Japanese nationals who decades ago were kidnapped by North Korea"
"913" "CHINA	In his report, Mr Leung claimed that the “mainstream” view in Hong Kong is that the candidates  SHOULD  be nominated only by a select committee, which happens to be what authorities in Beijing want too, to make absolutely sure the winner is someone they like"
"914" "CHINA	He once asked the American ambassador whether he  SHOULD  fly in economy class, given all the money America owes China"
"915" "EUROPE	Six years ago, under Nicolas Sarkozy, Mr Hollande’s conservative predecessor, a defence review concluded that France  SHOULD  concentrate less on bilateral defence ties to ex-colonies in French-speaking Africa and more on a “strategic arc” of instability from north Africa to the Horn of Africa and the Gulf"
"916" "EUROPE	Both Mrs Merkel and France’s President François Hollande said the high representative  SHOULD  be from the centre-left political group"
"917" "EUROPE	A strong doctrine of subsidiarity, whereby tasks  SHOULD  be done at the lowest possible level of government"
"918" "BRITAIN	Ms Morgan, a 41-year-old former Treasury minister and “reliable blue-stocking”, in the semi-admiring words of one Tory minister,  SHOULD  be up to the job of shepherding Mr Gove’s many unfinished reforms"
"919" "BRITAIN	A climate-change sceptic who was embarrassingly foiled in his attempt to cull badgers (he protested that the creatures had “moved the goal-posts”), Mr Paterson  SHOULD  never have had the job in the first place"
"920" "BRITAIN	The prime minister wants to bring the government’s European policy further under his personal control—as coming battles over welfare claimants from the EU and judicial integration  SHOULD  show"
"921" "INTERNATIONAL	Though of no use when the man’s sperm is sub-par and thus needs to be injected into the egg under a pricey microscope, it  SHOULD  be sufficient for about 70% of infertile couples, says Willem Ombelet of the Genk Institute for Fertility Technology, who led the first trial"
"922" "BUSINESS	JAPAN’S parliament decided in 1967 that, in keeping with the country’s pacifist post-war constitution, it  SHOULD  restrict exports of military equipment"
"923" "BUSINESS	A recent upgrade to Windows Phone introduced features that  SHOULD  make it more attractive to companies than older versions were, says Mr Delaney, but the deal between Apple and IBM will be a blow"
"924" "BUSINESS	Last month Google said that it would embed the software elements of Knox in the next version of Android, which  SHOULD  help the operating system as a whole"
"925" "BUSINESS	But if Carbon Tracker is right, then they will dump oil shares—which is what  SHOULD  happen if the firms are making a huge gamble that will misfire"
"926" "LEADERS	The enormity of the destruction of flight MH17  SHOULD  have led Mr Putin to draw back from his policy of fomenting war in eastern Ukraine"
"927" "LEADERS	The West  SHOULD  face the uncomfortable truth that Mr Putin’s Russia is fundamentally antagonistic"
"928" "LEADERS	The West  SHOULD  impose tough sanctions now, pursue his corrupt friends and throw him out of every international talking shop that relies on telling the truth"
"929" "LEADERS	IN A year thick with bad news, much of it about Islam, it is perhaps surprising that the world’s biggest Muslim-majority country  SHOULD  produce the most heartening piece of politics so far"
"930" "LEADERS	He  SHOULD  start by filling his cabinet with capable technocrats not party hacks"
"931" "LEADERS	But in return Israel  SHOULD  agree to honour an agreement dating to 2012 to lift the siege that has immiserated Gaza’s inhabitants since 2007 in an effort to enfeeble Hamas"
"932" "LEADERS	And it  SHOULD  free, or put on trial, some of the hundreds of Hamas prisoners rounded up in the past month or so on the West Bank, the bigger bit of a would-be Palestinian state"
"933" "LEADERS	It  SHOULD  be possible to bridge the differences"
"934" "LEADERS	The two sides  SHOULD  drop their conditions and hammer out a stand-alone corporate-tax reform that reduces the rate and broadens the base"
"935" "LEADERS	IN 1693 the philosopher John Locke warned that children  SHOULD  not be given too much “unwholesome fruit” to eat"
"936" "LETTERS	Tax evaders  SHOULD  rightly worry that FATCA will reveal their illicit activities"
"937" "LETTERS	This  SHOULD  encourage commercial, scientific, educational and cultural exchanges with their neighbours"
"938" "LETTERS	Carol MontclaireWilsonville, Oregon    Match-fixing * SIR – Your article suggests that more  SHOULD  be done at the law enforcement level to stop match-fixing in football (“How high does it go"
"939" "LETTERS	Finding the best one  SHOULD  be as important as catching the criminals in the fight against match-fixing"
"940" "BRIEFING	America’s Federal Aviation Authority (FAA) subsequently issued a NOTAM advising pilots that they  SHOULD  avoid the airport"
"941" "AMERICAS	She adds that school principals  SHOULD  be encouraging teachers to learn from their colleagues: the bank found big variations in teacher performance within schools as well as among them"
"942" "AMERICAS	That  SHOULD  help them develop new varieties that will not only resist roya, which is continuously evolving, but will also be less susceptible to erratic weather"
"943" "ASIA	They say this means Australia  SHOULD  give the boat people a fair hearing and not send them to a country such as Sri Lanka, where some may fear for their safety"
"944" "EUROPE	Some also argue that Mr Renzi  SHOULD  have secured a broader consensus before submitting his bill to parliament"
"945" "BRITAIN	Beyond that, there is little agreement on what he  SHOULD  do, which suggests how daunting his job will be"
"946" "BRITAIN	Bruno Monteyne of Bernstein argues for a radical scheme: the big stores  SHOULD  be grouped into lower, middle and upper tiers, each with its own pricing and service levels"
"947" "BUSINESS	The company says the government  SHOULD  get the information by approaching the Irish authorities, using a bilateral treaty"
"948" "BUSINESS	However, the upside to all this is that as Chinese firms of all sizes get themselves plugged in, as they are belatedly doing, there  SHOULD  be a burst of productivity gains, providing a sustained boost to GDP growth"
"949" "OBITUARY	But Joep Lange  SHOULD  still be seen as a martyr, for he would not have died when he did had he not been pursuing a war of his own—a war far deadlier than the skirmishing in eastern Ukraine which brought down the aircraft in which he was flying"
"950" "OBITUARY	That led him to suggest, in the 1990s, that treatment  SHOULD  start early, before a patient showed any symptoms"
"951" "OBITUARY	Instead of closeting themselves away in laboratories, he insisted that researchers like him  SHOULD  talk to the people whom their work was intended to benefit"
"952" "LEADERS	A growing number of Europeans call Israel racist (with the sinister flourish that Israelis, of all people,  SHOULD  know better)"
"953" "LEADERS	Even allowing for Hamas’s brutality, no democracy  SHOULD  be happy with a military strategy that results in the death of so many children (let alone the crass claim from Israel’s ambassador to Washington that its soldiers deserve a Nobel peace prize)"
"954" "LEADERS	Every true friend of Israel  SHOULD  press him to do so"
"955" "LEADERS	In July Reliance took control of a big broadcaster, which will provide Mr Ambani with a platform for his views,  SHOULD  he choose to use it that way"
"956" "LEADERS	These “hold-outs”, balking at the 65% haircut the restructuring entailed, not only persuaded a judge that they  SHOULD  be paid in full but also got him to freeze payments on the restructured bonds until Argentina coughs up"
"957" "LEADERS	Instead of railing against it, she  SHOULD  have tried to minimise the harm it did"
"958" "LEADERS	For its own sake, and everyone else’s, Argentina  SHOULD  hold its nose and do a deal with the hold-outs"
"959" "LEADERS	A country with a growing debt pile  SHOULD  only spend more money if it is really necessary"
"960" "LEADERS	It is investors who  SHOULD  worry more than regulators: they need to remember that central banks will not prop up asset prices for ever"
"961" "LETTERS	Instead of suggesting that companies construct an ever more fortified Maginot Line to keep external hackers at bay, greater emphasis  SHOULD  be placed on spotting the Trojan Horse in their midst"
"962" "LETTERS	Michael MadonFormer deputy assistant secretary for intelligence at the Treasury Department McLean, Virginia    EU and flight MH17 * SIR – Following the slaughter of 200 innocent Europeans, all EU countries  SHOULD  ask themselves what role they want to play in propping up Vladimir Putin’s regime (“A web of lies”, July 26th)"
"963" "LETTERS	Whatever the outcome, the parties’ use of a peaceful referendum to settle a complicated political question  SHOULD  be seen as a source of pride"
"964" "BRIEFING	Funding for the Palestinians, said EU officials, could also be affected since the union would no longer meet costs that legally  SHOULD  be borne by the occupying state"
"965" "AMERICAS	If a president is popular and has done a good job, surely voters  SHOULD  have the right to choose him or her again"
"966" "AMERICAS	Perhaps he  SHOULD  export it to Ecuador"
"967" "ASIA	The way the DAP was revealed may remind some voters that Mr Aquino was slower to condemn the graft stemming from PDAF than an anti-corruption president  SHOULD  have been"
"968" "BRITAIN	Eventually that  SHOULD  justify higher pay too"
"969" "BUSINESS	He and his family  SHOULD  themselves bear this in mind"
"970" "BUSINESS	Internet sales in Europe are expected to grow by half by 2019, which  SHOULD  entail about 5m square metres of new warehousing"
"971" "OBITUARY	Deaf children  SHOULD  learn “oralism”, he insisted, even if forcing them to try to learn to talk all too often ended in failure"
"972" "LEADERS	Pimps and madams  SHOULD  shudder, too"
"973" "LEADERS	But everyone else  SHOULD  cheer"
"974" "LEADERS	Governments  SHOULD  seize the moment to rethink their policies"
"975" "LEADERS	Governments  SHOULD  focus on deterring and punishing such crimes—and leave consenting adults who wish to buy and sell sex to do so safely and privately online"
"976" "LEADERS	Mr Modi  SHOULD  be working to change the subsidy regime instead of scuppering a deal that would have benefited India"
"977" "LEADERS	In theory it  SHOULD  promote dealmaking: Europe, say, will let in more South American farm produce in return for being able to sell more cars to South America"
"978" "LEADERS	So Mr Azevêdo  SHOULD  ditch the all-encompassing deals to pursue a number of modest ones covering specific industries: seek a deal on cotton, for instance, not one lumping together various bits of farming with customs facilitation (as in the Bali proposal)"
"979" "LEADERS	He  SHOULD  aim to get each done in a matter of months"
"980" "LEADERS	In each case, if consensus is not reached, a “coalition of the willing”  SHOULD  be allowed to sign up and start reaping the benefits"
"981" "LEADERS	The parallel with Chechnya  SHOULD  scare Mr Xi"
"982" "LEADERS	Uighurs’ religious traditions  SHOULD  be respected, so that all Muslims are allowed to visit Mecca, not just those approved by the government"
"983" "LEADERS	Mr Xi  SHOULD  disband the Xinjiang Production and Construction Corps, which runs a vast network of Han-dominated settlements"
"984" "LEADERS	And China  SHOULD  give up persecuting moderate Uighurs, who hardly embrace jihadism but are still angry about the government’s repressive measures"
"985" "LEADERS	Perhaps the biggest pressure is the passing of time: private-sector workers are incredulous as to why civil servants  SHOULD  escape the creative destruction that has changed other offices around the world"
"986" "LEADERS	One reason many officials become stuck is their generous pension deals: making pensions portable  SHOULD  be a priority"
"987" "LETTERS	The government’s prime consideration  SHOULD  be to promote the common good"
"988" "LETTERS	We  SHOULD  give people the option of ending their life in the presence of loved ones and in their own time, rather than having to endure an unknown period of misery"
"989" "LETTERS	The only solution is an outrageously simple one: Hamas and Palestine  SHOULD  drop their arms (rockets and tunnels too) and recognise Israel’s right to exist"
"990" "LETTERS	It is ludicrous and somewhat offensive that a news organisation such as yours, allegedly built on intellectually rigorous analysis,  SHOULD  suggest that integrity is determined principally by nationality"
"991" "BRIEFING	The stress of living a double life  SHOULD  not be underestimated, they caution, and it will not be easy money"
"992" "BRIEFING	But that adds unnecessary hassle and distracts from what  SHOULD  be most important: staying safe"
"993" "ASIA	The unlevel field Feeling the pinch Neither truth nor justice Reprints     It  SHOULD  matter to Narendra Modi, who became prime minister in May"
"994" "ASIA	For the survivors of the nightmare their party imposed on Cambodia from 1975 to 1979 it  SHOULD  be a moment of catharsis"
"995" "EUROPE	Its neighbours today trust Germany, he thinks, so Germans  SHOULD  trust themselves, too"
"996" "EUROPE	Addressing parliament in June, Gregor Gysi, a leader of The Left, a party descended from East Germany’s Communists, distorted Mr Gauck’s views as meaning that “we  SHOULD  take part in more military operations”"
"997" "EUROPE	“The justification for all this is a word, ‘autodichia’, the doctrine that says parliament  SHOULD  have total freedom to manage itself so it does not come under pressure from the government,” says Sergio Rizzo, co-author of “La Casta”, a best-selling book on the privileges of Italy’s political class"
"998" "BRITAIN	David Cameron  SHOULD  pay heed"
"999" "INTERNATIONAL	Officials often mistake slow progress for prudence, he adds—“but the maximum risk of something going wrong occurs once construction is under way, so you  SHOULD  keep that period as short as possible"
"1000" "BUSINESS	Milton Friedman’s view that business  SHOULD  focus on maximising shareholder value has been “interpreted way too narrowly”, Mr Polman argues"
"1001" "BUSINESS	Specifically, by 2020, Unilever aims to: “help a billion people to take steps to improve their health and well-being”; halve the environmental impact of its products; and source all its agricultural raw materials sustainably, meaning that they  SHOULD  meet requirements covering everything from forest protection to pest control"
"1002" "OBITUARY	One of his early books, “London 2000”, published in 1963, argued that London and the south-east  SHOULD  be comprehensively rebuilt, with vast areas of the inner cities bulldozed and replaced by blocks of flats, winding streets by a rectilinear system of motorways and on-ramps, and pedestrians segregated from traffic by walkways in the sky"
"1003" "LEADERS	If Mr Abadi, also a Shia, appoints a cabinet that includes senior Sunnis in prominent positions, as seems likely, he will reduce popular support for the extremists, which  SHOULD  help persuade Sunni rebels to switch sides"
"1004" "LEADERS	With America acting as its air force, it  SHOULD  be possible to push back IS"
"1005" "LEADERS	But why  SHOULD  he pay any heed"
"1006" "LEADERS	Mr Erdogan  SHOULD  accept that a strong prime minister would be better for Turkey"
"1007" "LEADERS	WHAT  SHOULD  the world do about Ebola"
"1008" "LEADERS	The allure of Europe for illegal migrants rests primarily in rich countries; the burden of catching and dealing with them  SHOULD  not lie with countries simply because they happen to be en route"
"1009" "LEADERS	If upheld on appeal, the decision  SHOULD  pave the way for players to get a piece of the pie they create at last"
"1010" "LETTERS	Mr Frank is right that alternatives  SHOULD  be compared on value as well as cost: a large literature on the subject that he overlooks does this correctly"
"1011" "LETTERS	Adopted in 1948, this calls for refugees to be allowed to return to their homes “and that compensation  SHOULD  be paid for the property of those choosing not to return"
"1012" "LETTERS	If The Economist really believes that an Israeli government could and  SHOULD  accept Resolution 194 then it "
"1013" "LETTERS	Or do you think that there is some clever interpretation of the peace initiative that the Israelis  SHOULD  adopt and that the Arabs would view as sufficient to allow the opening of negotiations"
"1014" "LETTERS	Someone paying a premium price  SHOULD  know they are getting the genuine article"
"1015" "AMERICAS	“If democracy means representing the majority,” he explains, “as a symbol I think that those with the highest responsibilities  SHOULD  live like the majority do, not the minority"
"1016" "ASIA	They think he  SHOULD  have let the demonstrators wilt in the monsoon heat"
"1017" "ASIA	Where the army has attempted to control Afghanistan through proxies, including the Afghan Taliban, Mr Sharif is adamant there  SHOULD  be no more meddling in Afghan affairs"
"1018" "CHINA	An oft-stated goal of the reforms is that “judges  SHOULD  decide the cases they hear, and they "
"1019" "EUROPE	Most recently, the interior minister, Angelino Alfano, proposed that the EU’s border-management agency, Frontex,  SHOULD  take over the running of Mare Nostrum"
"1020" "EUROPE	It is a measure of Ukrainian distrust of Russian machinations that an aid convoy  SHOULD  be widely suspected of being a Trojan horse for invasion"
"1021" "BRITAIN	DAVID CAMERON reckons people  SHOULD  think jolly hard before they vote in Scotland’s upcoming referendum on independence"
"1022" "BRITAIN	There  SHOULD  be no “neverendum”; the term applied to Quebec’s decades-long deliberations over breaking from Canada"
"1023" "BRITAIN	And those, mainly on the left, who think otherwise  SHOULD  consider the enormous opportunity, in their proximity to London, poor, grumbling Tilburians are squandering"
"1024" "INTERNATIONAL	Patients  SHOULD  be isolated and kept hydrated, their blood pressure monitored and secondary infections treated"
"1025" "INTERNATIONAL	Those who have come into contact with the infected  SHOULD  be watched to see if symptoms develop"
"1026" "INTERNATIONAL	It has laid out steps that governments  SHOULD  take, including ensuring health workers’ security, but all it can do is make recommendations"
"1027" "INTERNATIONAL	As African countries get richer, they  SHOULD  invest more in their own health systems, too"
"1028" "BUSINESS	The world’s labour exchange And that, in principle,  SHOULD  help labour markets work more smoothly, potentially reducing Europe’s youth unemployment rate, for example; or matching some of America’s 20m underemployed with its 4"
"1029" "BUSINESS	The root cause of Malaysia’s troubles  SHOULD  elicit far less pity"
"1030" "LEADERS	Three principles  SHOULD  guide America"
"1031" "LEADERS	First, it  SHOULD  only make promises that it is prepared to keep"
"1032" "LEADERS	Although Taiwan is central to China’s sense of its own honour, America  SHOULD  leave Beijing in no doubt that it would come to the island’s defence"
"1033" "LEADERS	And America  SHOULD  avoid a cold-war battle for the loyalty of regional powers"
"1034" "LEADERS	Lastly, America will find it easier to include China in new projects than to give ground on old ones—and  SHOULD  make more effort to do so"
"1035" "LEADERS	It is nonsensical that America  SHOULD  be leading the formation of the region’s biggest free-trade area, the Trans-Pacific Partnership, without the inclusion of the region’s largest economy"
"1036" "LEADERS	Let the dragon in Why  SHOULD  China be satisfied with a bit more engagement when primacy is what it seeks"
"1037" "LEADERS	Mr Obama  SHOULD  now do what he ought to have done all along: give a decent supply of arms to Syria’s moderate rebels, who are equally menaced by IS"
"1038" "LEADERS	Many of those countries  SHOULD  not just back the mission, but join it"
"1039" "LEADERS	If Mr Obama is rebuffed in the Security Council, or if Russia holds out for an unacceptable shift in America’s policy towards Mr Assad, he  SHOULD  nevertheless go ahead and hit IS on both sides of the border"
"1040" "LEADERS	The first and simplest lesson is that cops  SHOULD  wear cameras"
"1041" "LEADERS	In the longer term, America  SHOULD  ponder three things"
"1042" "LEADERS	This is not to say that Ferguson  SHOULD  have sacked the white officers and replaced them with blacks; that would be illegal"
"1043" "LEADERS	But the broken windows of Ferguson  SHOULD  remind America’s leaders that they have to try"
"1044" "LEADERS	In this sectionWhat China wants Stop them in both places The lessons of Ferguson Be bold, Mario Seeing the wood Reprints     European policymakers  SHOULD  study their peers"
"1045" "LEADERS	This  SHOULD  frighten the bank—once entrenched, such expectations are hard to dislodge"
"1046" "LEADERS	And they  SHOULD  fund an all-purpose UN programme to improve forest management in tropical countries called REDD+ (Reducing Emissions from Deforestation and Forest Degradation)"
"1047" "LEADERS	They  SHOULD  be willing to spend a few millions abroad, protecting tropical forests that reduce emissions a lot"
"1048" "LETTERS	Call me a pedant if you will, but The Economist  SHOULD  get it right"
"1049" "LETTERS	It is only right that it  SHOULD  be named correctly"
"1050" "LETTERS	This suggests that representatives and mayors  SHOULD  serve three three-year terms and senators, governors and presidents "
"1051" "LETTERS	AGUSTÍN BARRIOS GÓMEZ Congressman, Congress of MexicoMexico City    Fighting for freedom SIR – Charlemagne’s observation (July 26th) that some politicians think Europe  SHOULD  be prepared to “pull back” over Ukraine rather than escalate a conflict with Russia brought to mind a quote from John Stuart Mill: War is an ugly thing, but not the ugliest of things: the decayed and degraded state of moral and patriotic feeling which thinks that nothing is worth war is much worse…A man who has nothing which he is willing to fight for, nothing which he cares more about than he does about his personal safety, is a miserable creature who has no chance of being free, unless made and kept so by the exertions of better men than himself"
"1052" "LETTERS	This defies the concept of a liberal democracy that  SHOULD  represent the whole society"
"1053" "ASIA	That  SHOULD  herald more liberal policies and, as important, leave states rather than the centre to make many of the decisions on policy and spending"
"1054" "ASIA	One, Rajasthan, is emerging as a liberal front-runner: it has just eased labour laws and is rethinking how welfare  SHOULD  work"
"1055" "ASIA	He says India’s is a “Hindutva” culture; all Indians  SHOULD  be called Hindus, which is news to the fifth of the population who are Muslims or members of other faiths"
"1056" "EUROPE	In principle, both Kiev and Moscow  SHOULD  favour a political rather than a military end to the war"
"1057" "EUROPE	Now its government is clear that, just as Kosovo  SHOULD  be part of Serbia, so Crimea "
"1058" "BRITAIN	Other types of therapy, say advocates,  SHOULD  pay for themselves by saving health-care costs and increasing productivity"
"1059" "BRITAIN	Another risk is that Mr Cameron’s pronouncements outstrip America’s eagerness to act, leaving Britain isolated  SHOULD  the Obama administration commit itself no further"
"1060" "BRITAIN	Countries that share a colonial legacy, including language and culture,  SHOULD  trade together far more prodigiously than Britain and India do"
"1061" "BRITAIN	In world trade and climate negotiations, where India has been unhelpful, and in its recent high-handed treatment of foreign investors, its bad behaviour  SHOULD  be condemned and resisted"
"1062" "BRITAIN	And in a fading corner of their cultural memory, haunted by self-righteous but upstanding Victorians such as Harris, is perhaps a small feeling that the creators of cricket  SHOULD  hold India to a higher standard"
"1063" "BRITAIN	Mr Cameron  SHOULD  honour that"
